instnm,Average net price-students awarded grant or scholarship aid  2018-19 (SFA1819),Percent full-time first-time receiving an award - 6 years (DRVOM2019),State abbreviation (HD2018),City location of institution (HD2018),ZIP code (HD2018),Admissions office web address (HD2018),Longitude location of institution (HD2018),Latitude location of institution (HD2018),Sector of institution (HD2018),Historically Black College or University (HD2018),Carnegie Classification 2018: Undergraduate Instructional Program (HD2018),Carnegie Classification 2018: Basic (HD2018),Carnegie Classification 2018: Undergraduate Profile (HD2018),Institution size category (HD2018),ROTC (IC2018_RV),Study abroad (IC2018_RV),Member of National Collegiate Athletic Association (NCAA) (IC2018),Total price for out-of-state students living on campus 2018-19 (DRVIC2018),Total price for in-state students living on campus 2018-19 (DRVIC2018),Percent admitted - total (DRVADM2018_RV),Admissions yield - total (DRVADM2018_RV),Percent of undergraduate enrollment that are White (DRVEF2018_RV),Percent of undergraduate enrollment that are women (DRVEF2018_RV),Graduation rate  total cohort (DRVGR2018_RV),Completion of college-preparatory program (ADM2018_RV),Recommendations (ADM2018_RV),SAT Math 25th percentile score (ADM2018_RV),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2018_RV),
Albright College,20064,59,PA,Reading,19612-5234,www.albright.edu/admission/,-75.909742,40.361351,2,2,10,21,14,2,0,1,1,60636,60636,62,14,50,60,51,2,2,,,
Alcorn State University,,33,MS,Alcorn State,39096-7500,www.alcorn.edu/admissions,-91.142854,31.877216,1,1,13,19,10,2,1,1,1,24032,24032,89,16,3,64,40,3,5,400,420,
Alderson Broaddus University,20087,47,WV,Philippi,26416-2035,ab.edu/future-students/meet-the-admissions-team/,-80.047728,39.158067,2,2,13,22,10,1,0,1,1,40952,40952,43,15,64,46,35,2,3,460,460,
Alfred University,21646,53,NY,Alfred,14802-1205,www.alfred.edu/admissions/,-77.788106,42.254476,2,2,13,18,12,2,1,1,1,45104,45104,63,16,60,50,60,2,1,490,480,
Alice Lloyd College,15129,27,KY,Pippa Passes,41844, ,-82.875068,37.335087,2,2,12,22,10,1,0,1,0,24290,24290,28,19,93,54,70,2,2,430,440,
Allegheny College,24227,75,PA,Meadville,16335-3902,https://sites.allegheny.edu/admissions/,-80.147168,41.648690,2,2,6,21,14,2,0,1,1,63180,63180,64,14,67,56,74,1,1,560,560,
Allegheny Wesleyan College,8223,33,OH,Salem,44460-9598,awc.edu,-80.861232,40.867220,2,2,18,24,10,1,0,0,0,14412,14412,,,100,63,64,,,,,
Allen College,,100,IA,Waterloo,50703-1999,www.allencollege.edu/future-students.aspx,-92.340148,42.530084,2,2,19,26,7,1,1,1,0,,,,,88,92,,3,1,,,
Allen University,14303,20,SC,Columbia,29204,www.allenuniversity.edu/admissions/,-81.020045,34.010348,2,1,9,21,11,1,1,0,0,23170,23170,,,1,45,31,,,,,
Alma College,23180,67,MI,Alma,48801-1599,admissions.alma.edu,-84.672053,43.380040,2,2,12,22,12,2,0,1,1,54270,54270,64,13,78,59,64,3,5,520,520,
Alpena Community College,,37,MI,Alpena,49707,www.alpenacc.edu,-83.445069,45.081647,1,2,5,14,6,2,0,0,0,16140,16140,,,93,52,32,,,,,
Alvernia University,27798,59,PA,Reading,19607-1799,www.alvernia.edu/admissions-aid,-75.936754,40.310028,2,2,19,19,6,2,1,1,1,51240,51240,68,24,68,70,57,2,2,470,480,
Alverno College,18384,43,WI,Milwaukee,53234-3922,https://www.alverno.edu/admissions/,-87.965174,42.982842,2,2,16,19,7,2,1,1,1,40693,40693,70,37,46,99,41,2,3,,,
Amberton University,,,TX,Garland,75041-5595,www.amberton.edu,-96.653020,32.859931,2,2,14,18,5,2,0,0,0,,,,,38,66,,,,,,
America Evangelical University,9216,0,CA,Los Angeles,90006-5860,www.aeu.edu/#,-118.308661,34.041239,2,2,18,24,10,1,0,0,0,,,,,0,44,33,,,,,
American Academy of Art,25418,62,IL,Chicago,60604-4302,www.aaart.edu/admissions/,-87.624788,41.877420,2,2,15,30,6,1,0,1,0,,,,,44,64,60,,,,,
American Baptist College,18759,35,TN,Nashville,37207-9980,www.abcnash.edu,-86.789912,36.202623,2,1,18,24,7,1,0,0,0,24644,24644,,,2,29,20,,,,,
American College of Financial Services,,,PA,Bryn Mawr,19010-2196,https://www.theamericancollege.edu/plan-your-studies/student-experience,-75.327086,40.018349,2,2,0,29,0,3,0,0,0,,,,,48,28,,,,,,
American College of the Building Arts,28367,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Conservatory Theater,,,CA,San Francisco,94108-5834,www.act-sf.org/home/conservatory/mfa_program.html,-122.404750,37.787343,2,2,0,30,0,1,0,0,0,,,,,64,64,,3,1,,,
American Film Institute Conservatory,,,CA,Los Angeles,90027-1625,www.afi.com/Conservatory,-118.310018,34.107670,2,2,0,30,0,1,0,0,0,,,,,,,,,,,,
American International College,21218,33,MA,Springfield,01109,www.aic.edu/admissions,-72.558338,42.112346,2,2,16,18,11,2,1,1,1,52680,52680,68,21,39,64,47,2,2,460,460,
American Islamic College,,,IL,Chicago,60613,www.aicusa.edu/admissions/admission-requirements/,-87.646898,41.954969,2,2,-2,-2,-2,1,0,0,0,,,,,22,44,,,,,,
American Jewish University,18651,87,CA,Los Angeles,90077-1519,www.college.aju.edu/undergraduate/admissions/,-118.471706,34.128153,2,2,7,21,11,1,0,1,0,54615,54615,96,25,38,63,60,3,1,,,
American Musical and Dramatic Academy,43810,67,NY,New York,10023,www.amda.edu,-73.987549,40.772275,2,2,6,30,14,2,0,0,0,56700,56700,24,22,39,70,65,2,1,,,
American University,40469,79,DC,Washington,20016-8001,www.american.edu/admissions/,-77.088875,38.936005,2,2,11,16,14,4,1,1,1,66268,66268,32,29,53,62,80,1,1,590,630,
Amherst College,16339,95,MA,Amherst,01002-5000,www.amherst.edu/admission/,-72.518493,42.372459,2,2,6,21,14,2,1,1,1,73966,73966,13,39,44,50,93,2,1,670,660,
Amridge University,3905,25,AL,Montgomery,36117-3553,www.amridgeuniversity.edu/admissions/,-86.174010,32.362609,2,2,19,20,5,1,0,0,0,,,,,24,68,40,,,,,
Anabaptist Mennonite Biblical Seminary,,,IN,Elkhart,46517-1999,www.ambs.edu/admissions,-85.972165,41.656013,2,2,0,24,0,1,0,1,0,,,,,,,,,,,,
Anderson University,22914,56,IN,Anderson,46012-3495,https://anderson.edu/entry,-85.664315,40.112768,2,2,16,19,10,2,0,1,1,45290,45290,65,16,81,60,60,3,5,500,500,
Anderson University,21599,55,SC,Anderson,29621-4035,www.andersonuniversity.edu/admissions.aspx,-82.640358,34.515200,2,2,19,19,12,2,1,1,1,43110,43110,62,31,80,69,59,2,2,418,540,
Andover Newton Theological School,,,MA,Lexington,02421,andovernewton.yale.edu/about,-72.921380,41.323386,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Andrew College,18488,19,GA,Cuthbert,39840-5550,www.andrewcollege.edu/admission-requirements,-84.795021,31.772321,2,2,5,14,11,1,0,1,0,37528,37528,43,43,37,60,15,2,3,400,420,
Andrews University,22291,55,MI,Berrien Springs,49104,https://www.andrews.edu/admissions/,-86.355815,41.963859,2,2,13,17,13,2,0,1,0,40566,40566,66,31,31,56,58,1,1,500,540,
Angelo State University,,36,TX,San Angelo,76909,www.angelo.edu/dept/admissions/,-100.465051,31.440914,1,2,13,18,11,4,1,1,1,31006,21046,73,50,50,57,34,3,3,460,460,
Anna Maria College,24796,41,MA,Paxton,01612-1198,www.annamaria.edu/admission,-71.918960,42.330542,2,2,19,19,9,2,1,1,1,54090,54090,74,14,64,52,46,2,1,,,
Antelope Valley College,,38,CA,Lancaster,93536-5426,www.avc.edu/studentservices/adminrec/,-118.186166,34.676207,1,2,5,14,5,4,1,1,0,,,,,19,59,26,,,,,
Antioch College,22501,56,OH,Yellow Springs,45387,antiochcollege.edu/admission,-83.888077,39.799806,2,2,6,21,11,1,0,0,0,52628,52628,84,32,54,62,66,2,1,490,575,
Antioch College AG,12011,37,VA,Hampton,23666, ,-76.409526,37.041270,2,2,18,24,5,1,0,0,0,,,,,35,65,83,,,,,
Antioch University Online,,,OH,Yellow Springs,45387,www.antioch.edu/auonline/admissions-aid/admissions/,-83.908684,39.803210,2,2,15,22,5,1,0,0,0,,,,,48,80,,,,,,
Antioch University-Los Angeles,,,CA,Culver City,90230-7615,www.antiochla.edu/admissions,-118.384458,33.988533,2,2,8,19,5,1,0,0,0,,,,,40,72,,,,,,
Antioch University-Midwest,,,OH,Yellow Springs,45387,midwest.antioch.edu/admissions/,-83.908684,39.803210,2,2,17,20,5,1,0,0,0,,,,,79,56,,,,,,
Antioch University-New England,,,NH,Keene,03431,www.antiochne.edu/admissions,-72.293798,42.932344,2,2,0,19,0,1,0,0,0,,,,,,,,,,,,
Antioch University-PhD Program in Leadership and Change,,,OH,Yellow Springs,45387,www.antioch.edu/phd/applicant-resources/,-83.908684,39.803210,2,2,0,29,0,1,0,0,0,,,,,,,,,,,,
Antioch University-Santa Barbara,,,CA,Santa Barbara,93101,www.antiochsb.edu/admissions/contact-admissions/,-119.695800,34.419203,2,2,6,20,5,1,0,0,0,,,,,43,70,,,,,,
Antioch University-Seattle,,0,WA,Seattle,98121-1814,www.antiochseattle.edu/admissions/,-122.346318,47.615916,2,2,6,19,5,1,0,1,0,,,,,60,78,0,,,,,
Apex School of Theology,10745,86,NC,Durham,27703,apexsot.edu/admissions/,-78.841386,35.922645,2,2,20,24,10,1,0,0,0,,,,,3,64,99,,,,,
Appalachian Bible College,15391,57,WV,Mount Hope,25880-9557,https://abc.edu/undergraduate/admissions/,-81.198867,37.853335,2,2,18,24,13,1,0,0,0,26156,26156,45,67,77,39,49,2,1,430,480,
Appalachian College of Pharmacy,,,VA,Oakwood,24631,www.acp.edu/domestic-application/,-82.006195,37.211629,2,2,0,26,0,1,0,0,0,,,,,,,,,,,,
Appalachian School of Law,,,VA,Grundy,24614-2825,www.asl.edu/choosing-asl,-82.095648,37.277669,2,2,0,31,0,1,0,0,0,,,,,,,,,,,,
Appalachian State University,,72,NC,Boone,28608,www.appstate.edu/admissions/,-81.680583,36.215536,1,2,16,18,15,4,1,1,1,34001,19194,69,31,83,56,72,1,2,540,560,
Aquinas College,19613,58,MI,Grand Rapids,49506-1801,www.aquinas.edu/undergraduate-admissions,-85.628785,42.960190,2,2,9,21,12,2,0,1,0,44588,44588,69,22,65,59,61,1,5,500,510,
Aquinas Institute of Theology,,,MO,Saint Louis,63108-3323,www.ai.edu/Admissions,-90.237795,38.634329,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Arapahoe Community College,,23,CO,Littleton,80160-9002,www.arapahoe.edu/admissions,-105.018631,39.607505,1,2,3,6,1,4,1,0,0,,,,,57,49,20,,,,,
Arcadia University,29040,66,PA,Glenside,19038-3295,https://www.arcadia.edu/admissions/,-75.163876,40.092606,2,2,10,18,12,2,0,1,1,59980,59980,64,8,62,68,71,1,1,510,540,
Arizona Christian University,21385,45,AZ,Phoenix,85032-7097,arizonachristian.edu/admissions/,-112.026211,33.595117,2,2,15,22,11,1,1,1,0,42670,42670,56,69,45,44,45,3,1,470,460,
Arizona State University Campus Immersion,,56,AZ,Tempe,85287,https://students.asu.edu/contact/admissions,-111.934383,33.417721,1,2,14,15,15,5,1,1,1,45562,28048,85,39,50,44,69,2,3,560,570,
Arizona State University Digital Immersion,,15,AZ,Scottsdale,85257,https://students.asu.edu/contact/admissions,-111.923861,33.463786,1,2,13,16,5,5,0,1,1,35833,27521,68,47,62,60,48,2,3,,,
Arizona State University-Downtown Phoenix,,54,AZ,Phoenix,85004,https://students.asu.edu/contact/admissions,-112.073470,33.452914,1,2,20,16,13,4,1,1,1,47498,29984,81,31,47,68,69,2,3,530,550,
Arizona State University-Polytechnic,,44,AZ,Mesa,85212,https://students.asu.edu/contact/admissions,-111.677225,33.307142,1,2,16,18,13,3,1,1,1,41837,26101,83,30,51,33,57,2,3,560,540,
Arizona State University-West,,41,AZ,Glendale,85306,https://students.asu.edu/contact/admissions,-112.160021,33.607260,1,2,10,19,13,2,1,1,1,41742,26006,82,31,43,60,70,2,3,520,530,
Arkansas Baptist College,19306,12,AR,Little Rock,72202-6068, ,-92.290555,34.734751,2,1,5,23,11,1,0,0,0,23060,23060,,,6,26,20,,,,,
Arkansas Colleges of Health Education,,,AR,Fort Smith,72916-0366,arcomedu.org/admissions/,-94.319084,35.317421,2,2,-2,-2,-2,1,0,0,0,,,,,,,,,,,,
Arkansas State University,,47,AR,Jonesboro,72401,www.astate.edu/admissions,-90.679988,35.842388,1,2,16,16,9,4,1,1,1,29791,23101,77,39,76,60,48,2,3,520,510,
Arkansas Tech University,,39,AR,Russellville,72801-2222,www.atu.edu/admissions/,-93.135620,35.293237,1,2,16,18,10,4,1,1,1,24209,18785,90,37,76,54,41,2,3,,,
Arlington Baptist University,17578,18,TX,Arlington,76012-3425,https://abu.edu,-97.156024,32.739489,2,2,16,24,11,1,0,0,0,24493,24493,,,51,40,19,,,,,
Art Academy of Cincinnati,23858,56,OH,Cincinnati,45202-1706,www.artacademy.edu/admissions/,-84.513913,39.108805,2,2,9,30,11,1,0,1,0,47050,47050,33,17,72,71,63,3,3,440,440,
Art Center College of Design,47352,65,CA,Pasadena,91103,www.artcenter.edu/admissions/overview.html,-118.185102,34.169031,2,2,20,30,13,2,0,1,0,,,68,42,14,55,72,2,5,,,
Asbury Theological Seminary,,,KY,Wilmore,40390-1199,asburyseminary.edu/admissions,-84.660127,37.861561,2,2,0,24,0,2,0,0,0,,,,,,,,,,,,
Asbury University,22848,68,KY,Wilmore,40390-1198,www.asbury.edu/admissions,-84.662606,37.862029,2,2,16,20,13,2,1,1,0,41568,41568,67,30,77,59,62,2,5,,,
Ashland University,19758,60,OH,Ashland,44805,https://www.ashland.edu/admissions,-82.321061,40.861755,2,2,16,18,12,3,0,1,1,34792,34792,68,19,69,47,61,2,2,475,500,
Associated Beth Rivkah Schools,14130,61,NY,Brooklyn,11225-0000, ,-73.949993,40.665998,2,2,-2,-2,-2,1,0,0,0,,,97,97,92,100,87,1,1,,,
Assumption University,29305,71,MA,Worcester,01609-1296,https://www.assumption.edu/admissions,-71.828991,42.294226,2,2,13,19,12,2,0,1,1,56443,56443,81,16,75,57,75,3,1,,,
Athenaeum of Ohio,,,OH,Cincinnati,45230-2091,www.athenaeum.edu,-84.371927,39.082926,2,2,0,24,5,1,0,0,0,,,,,92,45,,,,,,
Athens State University,,,AL,Athens,35611,www.athens.edu/admissions/,-86.964698,34.806793,1,2,15,22,5,2,0,1,0,,,,,76,69,,,,,,
Atlanta Metropolitan State College,,16,GA,Atlanta,30310-4448,www.atlm.edu/students/admissions.aspx,-84.404659,33.708930,1,2,5,23,5,2,0,1,0,,,,,2,66,15,,,,,
Atlantic Institute of Oriental Medicine,,,FL,Fort Lauderdale,33301-3510,www.atom.edu,-80.142235,26.121964,2,2,18,26,0,1,0,1,0,,,,,37,80,,,,,,
Auburn University,,77,AL,Auburn,36849,www.auburn.edu/admissions/,-85.488258,32.599378,1,2,17,15,14,5,1,1,1,50838,31590,75,31,79,48,78,1,2,570,580,
Auburn University at Montgomery,,27,AL,Montgomery,36117-3596,www.aum.edu/admissions,-86.177544,32.367360,1,2,16,18,9,3,1,1,1,29722,20314,93,14,45,65,34,3,3,480,510,
Augsburg University,25311,60,MN,Minneapolis,55454,www.augsburg.edu/firstyear,-93.240436,44.966307,2,2,13,18,13,2,1,1,1,52780,52780,69,30,46,54,64,2,1,595,578,
Augusta University,,26,GA,Augusta,30912,www.augusta.edu/admissions,-81.989071,33.470370,1,2,16,17,11,3,1,1,1,35806,21254,80,44,52,65,31,1,3,590,520,
Augustana College,24706,75,IL,Rock Island,61201-2296,www.augustana.edu/admissions,-90.550570,41.502365,2,2,12,21,12,2,0,1,1,54907,54907,64,16,69,57,74,2,2,,,
Augustana University,24481,81,SD,Sioux Falls,57197-0001,www.augie.edu/admission,-96.736975,43.525148,2,2,13,20,14,2,1,1,1,46982,46982,65,32,83,63,70,2,5,550,510,
Aultman College of Nursing and Health Sciences,16456,67,OH,Canton,44710-1797,https://www.aultmancollege.edu,-81.404053,40.796186,2,2,5,26,5,1,0,0,0,,,75,68,90,90,100,3,3,,,
Aurora University,17906,53,IL,Aurora,60506-4892,www.aurora.edu/admission,-88.349023,41.753631,2,2,16,17,13,3,1,1,1,37994,37994,81,28,48,65,54,1,2,480,490,
Austin College,23824,67,TX,Sherman,75090-4400,www.austincollege.edu/admission,-96.596331,33.646345,2,2,9,21,14,2,0,1,1,55137,55137,55,21,49,51,70,2,1,560,570,
Austin Community College District,,14,TX,Austin,78752,www.austincc.edu/admissions,-97.712505,30.322744,1,2,1,5,1,5,0,1,0,,,,,44,56,8,,,,,
Austin Graduate School of Theology,,,TX,Austin,78752,austingrad.edu/admissions,-97.711751,30.343842,2,2,18,24,5,1,0,0,0,,,,,54,31,,,,,,
Austin Peay State University,,39,TN,Clarksville,37044,www.apsu.edu/admissions,-87.354081,36.533319,1,2,13,18,9,4,1,1,1,40186,24946,94,28,59,59,41,3,3,470,488,
Austin Presbyterian Theological Seminary,,,TX,Austin,78705-5711,www.austinseminary.edu/page.cfm?p=1229,-97.736958,30.292010,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Ave Maria School of Law,,,FL,Naples,34119,https://www.avemarialaw.edu/law-schools/,-81.731358,26.242138,2,2,0,31,0,1,0,0,0,,,,,,,,,,,,
Ave Maria University,15939,53,FL,Ave Maria,34142-9505,www.avemaria.edu/future-students/,-81.438945,26.335983,2,2,13,21,13,2,0,1,0,36261,36261,83,29,63,52,56,2,2,510,540,
Averett University,24013,41,VA,Danville,24541,https://admissions.averett.edu,-79.413203,36.577287,2,2,16,22,11,1,0,1,1,47918,47918,61,17,57,43,42,5,2,450,440,
Averett University-Non-Traditional Programs,23210,0,VA,Danville,24541,https://gps.averett.edu/averett-admissions-aid/,-79.413203,36.577287,2,2,19,29,5,1,0,1,1,,,33,83,41,59,,3,5,,,
Avila University,17048,41,MO,Kansas City,64145-1698,https://www.avila.edu/admission-aid,-94.591758,38.913390,2,2,16,19,13,2,1,1,0,31598,31598,38,17,51,60,50,2,2,510,480,
Azusa Pacific University,27707,66,CA,Azusa,91702-7000,www.apu.edu/admissions/,-117.888375,34.130047,2,2,13,16,13,4,1,1,1,54144,54144,69,17,37,66,63,2,1,500,520,
Babson College,28325,92,MA,Babson Park,02457-0310,www.babson.edu/admission,-71.264057,42.297017,2,2,20,29,14,2,0,1,1,70378,70378,24,35,36,48,91,1,1,650,620,
Bacone College,21621,13,OK,Muskogee,74403-1597,www.bacone.edu/admissions/,-95.334046,35.777082,2,2,18,22,11,1,0,0,0,35150,35150,15,35,17,42,10,3,2,395,425,
Bais Binyomin Academy,19164,31,NY,Monsey,10952, ,-74.081172,41.123098,2,2,18,24,10,1,0,0,0,18050,18050,82,67,97,0,53,1,1,,,
Bais HaMedrash and Mesivta of Baltimore,13603,41,MD,Baltimore,21209-1613, ,-76.674414,39.379528,2,2,18,24,10,1,0,0,0,22100,22100,100,100,91,0,41,1,2,,,
Bais Medrash Elyon,6850,100,NY,Monsey,10952,https://www.baismedroshelyon.com,-74.069798,41.114079,2,2,20,24,11,1,0,0,0,15400,15400,80,75,100,0,0,1,1,,,
Bais Medrash Mayan Hatorah,12290,7,NJ,Lakewood,08701, ,-74.204332,40.107414,2,2,18,24,11,1,0,0,0,16650,16650,65,86,94,0,,1,1,,,
Bais Medrash Toras Chesed,5016,18,NJ,Lakewood,08701, ,-74.211270,40.099704,2,2,18,24,12,1,0,1,0,11300,11300,60,71,97,0,25,3,1,,,
Baker College,14487,17,MI,Flint,48507-5508,www.baker.edu/admissions-and-aid/undergraduate-admissions/,-83.694679,42.974764,2,2,5,18,5,3,0,0,0,21000,21000,80,44,79,70,19,1,3,,,
Baker University,23629,56,KS,Baldwin City,66006-0065,https://www.bakeru.edu/admissions/,-95.188231,38.777278,2,2,16,17,9,2,1,1,0,44410,44410,88,35,75,56,59,2,3,485,445,
Bakersfield College,,35,CA,Bakersfield,93305-1299,www.bakersfieldcollege.edu/admissions/,-118.973753,35.409110,1,2,5,14,5,5,0,0,0,,,,,17,56,18,,,,,
Bakke Graduate University,,,TX,Dallas,75243-7039,https://www.bgu.edu/?s=admissions,-96.753976,32.894605,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Baldwin Wallace University,23832,68,OH,Berea,44017-2088,https://www.bw.edu/admission,-81.851145,41.373017,2,2,13,18,13,2,1,1,1,47528,47528,74,23,78,54,64,1,2,510,520,
Ball State University,,61,IN,Muncie,47306,www.bsu.edu/web/admissions/,-85.409043,40.203431,1,2,16,16,12,5,1,1,1,41122,24550,65,24,79,60,63,1,2,,,
Bank Street College of Education,,,NY,New York,10025,graduate.bankstreet.edu/admissions-financial-aid/,-73.966643,40.805604,2,2,0,32,0,1,0,0,0,,,,,,,,,,,,
Baptist Bible College,18049,32,MO,Springfield,65803-3498,www.gobbc.edu,-93.284286,37.239696,2,2,19,24,11,1,0,0,0,25500,25500,,,82,51,41,,,,,
Baptist Health Sciences University,10088,75,TN,Memphis,38104,www.bchs.edu/admissions,-90.027501,35.138415,2,2,18,26,5,2,0,0,0,23207,23207,59,39,50,89,48,2,3,,,
Baptist Missionary Association Theological Seminary,,50,TX,Jacksonville,75766-5407, ,-95.255524,31.978961,2,2,20,24,5,1,0,0,0,16300,16300,75,100,73,8,,3,1,,,
